package name,package version,MSC ID
02-echo,0.0.7,MSC-2025-10985
@accordproject/concerto-analysis,3.24.1,MSC-2025-10985
@accordproject/concerto-linter,3.24.1,MSC-2025-10985
@accordproject/concerto-linter-default-ruleset,3.24.1,MSC-2025-10985
@accordproject/concerto-metamodel,3.12.5,MSC-2025-10985
@accordproject/concerto-types,3.24.1,MSC-2025-10985
@accordproject/markdown-it-cicero,0.16.26,MSC-2025-10985
@accordproject/template-engine,2.7.2,MSC-2025-10985
@actbase/css-to-react-native-transform,1.0.3,MSC-2025-10983
@actbase/native,0.1.32,MSC-2025-10983
@actbase/node-server,1.1.19,MSC-2025-10983
@actbase/react-absolute,0.8.3,MSC-2025-10983
@actbase/react-daum-postcode,1.0.5,MSC-2025-10983
@actbase/react-kakaosdk,0.9.27,MSC-2025-10983
@actbase/react-native-actionsheet,1.0.3,MSC-2025-10983
@actbase/react-native-devtools,0.1.3,MSC-2025-10981
@actbase/react-native-fast-image,8.5.13,MSC-2025-10983
@actbase/react-native-kakao-channel,1.0.2,MSC-2025-10983
@actbase/react-native-kakao-navi,2.0.4,MSC-2025-10983
@actbase/react-native-less-transformer,1.0.6,MSC-2025-10983
@actbase/react-native-naver-login,1.0.1,MSC-2025-10983
@actbase/react-native-simple-video,1.0.13,MSC-2025-10983
@actbase/react-native-tiktok,1.1.3,MSC-2025-10983
@afetcan/api,0.0.13,MSC-2025-10985
@afetcan/storage,0.0.27,MSC-2025-10985
@ahmedhfarag/ngx-perfect-scrollbar,20.0.20,MSC-2025-8060
@ahmedhfarag/ngx-virtual-scroller,4.0.4,MSC-2025-8064
@alaan/s2s-auth,2.0.3,MSC-2025-10985
@alexadark/amadeus-api,1.0.4,MSC-2025-10985
@alexadark/gatsby-theme-events,1.0.1,MSC-2025-10985
@alexadark/gatsby-theme-wordpress-blog,2.0.1,MSC-2025-10985
@alexadark/reusable-functions,1.5.1,MSC-2025-10985
@alexcolls/nuxt-socket.io,0.0.7,MSC-2025-10983
@alexcolls/nuxt-socket.io,0.0.8,MSC-2025-10983
@alexcolls/nuxt-ux,0.6.1,MSC-2025-10983
@alexcolls/nuxt-ux,0.6.2,MSC-2025-10983
@antstackio/eslint-config-antstack,0.0.3,MSC-2025-10985
@antstackio/express-graphql-proxy,0.2.8,MSC-2025-10985
@antstackio/graphql-body-parser,0.1.1,MSC-2025-10985
@antstackio/json-to-graphql,1.0.3,MSC-2025-10985
@antstackio/shelbysam,1.1.7,MSC-2025-10985
@art-ws/common,2.0.22,MSC-2025-8071
@art-ws/common,2.0.28,MSC-2025-8565
@art-ws/config-eslint,2.0.4,MSC-2025-8072
@art-ws/config-eslint,2.0.5,MSC-2025-8073
@art-ws/config-ts,2.0.7,MSC-2025-8076
@art-ws/config-ts,2.0.8,MSC-2025-8074
@art-ws/db-context,2.0.21,MSC-2025-8075
@art-ws/db-context,2.0.24,MSC-2025-8550
@art-ws/di,2.0.28,MSC-2025-8080
@art-ws/di,2.0.32,MSC-2025-8566
@art-ws/di-node,2.0.13,MSC-2025-8078
@art-ws/eslint,1.0.5,MSC-2025-8079
@art-ws/eslint,1.0.6,MSC-2025-8077
@art-ws/fastify-http-server,2.0.24,MSC-2025-8081
@art-ws/fastify-http-server,2.0.27,MSC-2025-8523
@art-ws/http-server,2.0.21,MSC-2025-8083
@art-ws/http-server,2.0.25,MSC-2025-8522
@art-ws/openapi,0.1.12,MSC-2025-8521
@art-ws/openapi,0.1.9,MSC-2025-8082
@art-ws/package-base,1.0.5,MSC-2025-8084
@art-ws/package-base,1.0.6,MSC-2025-8087
@art-ws/prettier,1.0.5,MSC-2025-8089
@art-ws/prettier,1.0.6,MSC-2025-8088
@art-ws/slf,2.0.15,MSC-2025-8085
@art-ws/slf,2.0.22,MSC-2025-8567
@art-ws/ssl-info,1.0.10,MSC-2025-8090
@art-ws/ssl-info,1.0.9,MSC-2025-8091
@art-ws/web-app,1.0.3,MSC-2025-8093
@art-ws/web-app,1.0.4,MSC-2025-8092
@aryanhussain/my-angular-lib,0.0.23,MSC-2025-10983
@asyncapi/avro-schema-parser,3.0.25,MSC-2025-10983
@asyncapi/avro-schema-parser,3.0.26,MSC-2025-10985
@asyncapi/bundler,0.6.5,MSC-2025-10983
@asyncapi/bundler,0.6.6,MSC-2025-10983
@asyncapi/cli,4.1.2,MSC-2025-10983
@asyncapi/cli,4.1.3,MSC-2025-10983
@asyncapi/converter,1.6.3,MSC-2025-10983
@asyncapi/converter,1.6.4,MSC-2025-10985
@asyncapi/diff,0.5.1,MSC-2025-10983
@asyncapi/diff,0.5.2,MSC-2025-10983
@asyncapi/dotnet-rabbitmq-template,1.0.1,MSC-2025-10983
@asyncapi/dotnet-rabbitmq-template,1.0.2,MSC-2025-10983
@asyncapi/edavisualiser,1.2.1,MSC-2025-10983
@asyncapi/edavisualiser,1.2.2,MSC-2025-10983
@asyncapi/generator,2.8.5,MSC-2025-10983
@asyncapi/generator,2.8.6,MSC-2025-10986
@asyncapi/generator-components,0.3.2,MSC-2025-10983
@asyncapi/generator-components,0.3.3,MSC-2025-10983
@asyncapi/generator-helpers,0.2.1,MSC-2025-10983
@asyncapi/generator-helpers,0.2.2,MSC-2025-10986
@asyncapi/generator-react-sdk,1.1.4,MSC-2025-10986
@asyncapi/generator-react-sdk,1.1.5,MSC-2025-10983
@asyncapi/go-watermill-template,0.2.76,MSC-2025-10983
@asyncapi/go-watermill-template,0.2.77,MSC-2025-10983
@asyncapi/html-template,3.3.2,MSC-2025-10983
@asyncapi/html-template,3.3.3,MSC-2025-10983
@asyncapi/java-spring-cloud-stream-template,0.13.5,MSC-2025-10983
@asyncapi/java-spring-cloud-stream-template,0.13.6,MSC-2025-10983
@asyncapi/java-spring-template,1.6.1,MSC-2025-10983
@asyncapi/java-spring-template,1.6.2,MSC-2025-10983
@asyncapi/java-template,0.3.5,MSC-2025-10983
@asyncapi/java-template,0.3.6,MSC-2025-10983
@asyncapi/keeper,0.0.2,MSC-2025-10983
@asyncapi/keeper,0.0.3,MSC-2025-10983
@asyncapi/markdown-template,1.6.8,MSC-2025-10983
@asyncapi/markdown-template,1.6.9,MSC-2025-10983
@asyncapi/modelina,5.10.2,MSC-2025-10983
@asyncapi/modelina,5.10.3,MSC-2025-10986
@asyncapi/modelina-cli,5.10.2,MSC-2025-10983
@asyncapi/modelina-cli,5.10.3,MSC-2025-10983
@asyncapi/multi-parser,2.2.1,MSC-2025-10983
@asyncapi/multi-parser,2.2.2,MSC-2025-10986
@asyncapi/nodejs-template,3.0.5,MSC-2025-10983
@asyncapi/nodejs-template,3.0.6,MSC-2025-10983
@asyncapi/nodejs-ws-template,0.10.1,MSC-2025-10983
@asyncapi/nodejs-ws-template,0.10.2,MSC-2025-10983
@asyncapi/nunjucks-filters,2.1.1,MSC-2025-10983
@asyncapi/nunjucks-filters,2.1.2,MSC-2025-10986
@asyncapi/openapi-schema-parser,3.0.25,MSC-2025-10983
@asyncapi/openapi-schema-parser,3.0.26,MSC-2025-10986
@asyncapi/optimizer,1.0.5,MSC-2025-10983
@asyncapi/optimizer,1.0.6,MSC-2025-10983
@asyncapi/parser,3.4.1,MSC-2025-10983
@asyncapi/parser,3.4.2,MSC-2025-10983
@asyncapi/php-template,0.1.1,MSC-2025-10983
@asyncapi/php-template,0.1.2,MSC-2025-10983
@asyncapi/problem,1.0.1,MSC-2025-10983
@asyncapi/problem,1.0.2,MSC-2025-10983
@asyncapi/protobuf-schema-parser,3.5.2,MSC-2025-10983
@asyncapi/protobuf-schema-parser,3.5.3,MSC-2025-10983
@asyncapi/protobuf-schema-parser,3.6.1,MSC-2025-10983
@asyncapi/python-paho-template,0.2.1.14,MSC-2025-10983
@asyncapi/python-paho-template,0.2.14,
@asyncapi/python-paho-template,0.2.15,MSC-2025-10983
@asyncapi/react-component,2.6.6,MSC-2025-10983
@asyncapi/react-component,2.6.7,MSC-2025-10986
@asyncapi/server-api,0.16.24,
@asyncapi/server-api,0.16.25,MSC-2025-10983
@asyncapi/server-api,0.6.24,MSC-2025-10983
@asyncapi/server-api,0.6.25,
@asyncapi/specs,6.10.1,MSC-2025-10983
@asyncapi/specs,6.8.2,MSC-2025-10983
@asyncapi/specs,6.8.3,
@asyncapi/specs,6.9.1,MSC-2025-10983
@asyncapi/studio,1.0.2,MSC-2025-10983
@asyncapi/studio,1.0.3,MSC-2025-10986
@asyncapi/web-component,2.6.6,MSC-2025-10983
@asyncapi/web-component,2.6.7,MSC-2025-10983
@basic-ui-components-stc/basic-ui-components,1.0.5,MSC-2025-8555
@bdkinc/knex-ibmi,0.5.7,MSC-2025-10986
@browserbasehq/bb9,1.2.21,MSC-2025-10985
@browserbasehq/director-ai,1.0.3,MSC-2025-10985
@browserbasehq/mcp,2.1.1,MSC-2025-10985
@browserbasehq/mcp-server-browserbase,2.4.2,MSC-2025-10985
@browserbasehq/sdk-functions,0.0.4,MSC-2025-10985
@browserbasehq/stagehand,3.0.4,MSC-2025-10985
@browserbasehq/stagehand-docs,1.0.1,MSC-2025-10985
@caretive/caret-cli,0.0.2,MSC-2025-10981
@chtijs/eslint-config,1.0.1,MSC-2025-10986
@clausehq/flows-step-httprequest,0.1.14,MSC-2025-10986
@clausehq/flows-step-jsontoxml,0.1.1.14,MSC-2025-10984
@clausehq/flows-step-jsontoxml,0.1.14,MSC-2025-10986
@clausehq/flows-step-mqtt,0.1.14,MSC-2025-10986
@clausehq/flows-step-sendgridemail,0.1.14,MSC-2025-10985
@clausehq/flows-step-taskscreateurl,0.1.14,MSC-2025-10986
@cllbk/ghl,1.3.1,MSC-2025-10986
@commute/bloom,1.0.3,MSC-2025-10984
@commute/market-data,1.0.2,MSC-2025-10984
@commute/market-data-chartjs,2.3.1,MSC-2025-10985
@coveops/abi,2.0.1,MSC-2025-7948
@crowdstrike/commitlint,8.1.1,MSC-2025-8070
@crowdstrike/commitlint,8.1.2,MSC-2025-8492
@crowdstrike/falcon-shoelace,0.4.1,MSC-2025-8086
@crowdstrike/falcon-shoelace,0.4.2,MSC-2025-8568
@crowdstrike/foundry-js,0.19.1,MSC-2025-8094
@crowdstrike/foundry-js,0.19.2,MSC-2025-8494
@crowdstrike/glide-core,0.34.2,MSC-2025-8339
@crowdstrike/glide-core,0.34.3,MSC-2025-8495
@crowdstrike/logscale-dashboard,1.205.1,MSC-2025-8342
@crowdstrike/logscale-dashboard,1.205.2,MSC-2025-8516
@crowdstrike/logscale-file-editor,1.205.1,MSC-2025-8340
@crowdstrike/logscale-file-editor,1.205.2,MSC-2025-8504
@crowdstrike/logscale-parser-edit,1.205.1,MSC-2025-8338
@crowdstrike/logscale-parser-edit,1.205.2,MSC-2025-8517
@crowdstrike/logscale-search,1.205.1,MSC-2025-8453
@crowdstrike/logscale-search,1.205.2,MSC-2025-8518
@crowdstrike/tailwind-toucan-base,5.0.1,MSC-2025-8385
@crowdstrike/tailwind-toucan-base,5.0.2,MSC-2025-8505
@ctrl/deluge,7.2.1,MSC-2025-7961
@ctrl/deluge,7.2.2,MSC-2025-8402
@ctrl/golang-template,1.4.2,MSC-2025-8448
@ctrl/golang-template,1.4.3,MSC-2025-8421
@ctrl/magnet-link,4.0.3,MSC-2025-8381
@ctrl/magnet-link,4.0.4,MSC-2025-8351
@ctrl/ngx-codemirror,7.0.1,MSC-2025-8394
@ctrl/ngx-codemirror,7.0.2,MSC-2025-8506
@ctrl/ngx-csv,6.0.1,MSC-2025-8446
@ctrl/ngx-csv,6.0.2,MSC-2025-8403
@ctrl/ngx-emoji-mart,9.2.1,MSC-2025-8352
@ctrl/ngx-emoji-mart,9.2.2,MSC-2025-8506
@ctrl/ngx-rightclick,4.0.1,MSC-2025-8364
@ctrl/ngx-rightclick,4.0.2,MSC-2025-8386
@ctrl/qbittorrent,9.7.1,MSC-2025-8437
@ctrl/qbittorrent,9.7.2,MSC-2025-8397
@ctrl/react-adsense,2.0.1,MSC-2025-8478
@ctrl/react-adsense,2.0.2,MSC-2025-8383
@ctrl/shared-torrent,6.3.1,MSC-2025-8355
@ctrl/shared-torrent,6.3.2,MSC-2025-8373
@ctrl/tinycolor,4.1.1,MSC-2025-8488
@ctrl/tinycolor,4.1.2,MSC-2025-8496
@ctrl/torrent-file,4.1.1,MSC-2025-8464
@ctrl/torrent-file,4.1.2,MSC-2025-8384
@ctrl/transmission,7.3.1,MSC-2025-8390
@ctrl/ts-base32,4.0.1,MSC-2025-8431
@ctrl/ts-base32,4.0.2,MSC-2025-8374
@dev-blinq/ai-qa-logic,1.0.19,MSC-2025-10983
@dev-blinq/blinqioclient,1.0.21,MSC-2025-10986
@dev-blinq/cucumber-js,1.0.131,MSC-2025-10986
@dev-blinq/cucumber_client,1.0.738,MSC-2025-10986
@dev-blinq/ui-systems,1.0.93,MSC-2025-10986
@duckdb/duckdb-wasm,1.29.2,MSC-2025-7930
@duckdb/node-api,1.3.3,MSC-2025-7888
@duckdb/node-bindings,1.3.3,MSC-2025-7889
@ensdomains/address-encoder,0.1.5,MSC-2025-10981
@ensdomains/address-encoder,1.1.5,MSC-2025-10986
@ensdomains/blacklist,1.0.1,MSC-2025-10983
@ensdomains/buffer,0.1.2,MSC-2025-10983
@ensdomains/ccip-read-cf-worker,0.0.4,MSC-2025-10983
@ensdomains/ccip-read-dns-gateway,0.1.1,MSC-2025-10983
@ensdomains/ccip-read-router,0.0.7,MSC-2025-10983
@ensdomains/ccip-read-worker-viem,0.0.4,MSC-2025-10983
@ensdomains/content-hash,3.0.1,MSC-2025-10981
@ensdomains/curvearithmetics,1.0.1,MSC-2025-10983
@ensdomains/cypress-metamask,1.2.1,MSC-2025-10983
@ensdomains/dnsprovejs,0.5.3,MSC-2025-10983
@ensdomains/dnssec-oracle-anchors,0.0.2,MSC-2025-10983
@ensdomains/dnssecoraclejs,0.2.9,MSC-2025-10981
@ensdomains/durin,0.1.2,MSC-2025-10983
@ensdomains/durin-middleware,0.0.2,MSC-2025-10983
@ensdomains/ens-archived-contracts,0.0.3,MSC-2025-10981
@ensdomains/ens-avatar,1.0.4,MSC-2025-10983
@ensdomains/ens-contracts,1.6.1,MSC-2025-10981
@ensdomains/ens-test-env,1.0.2,MSC-2025-10983
@ensdomains/ens-validation,0.1.1,MSC-2025-10981
@ensdomains/ensjs,4.0.3,MSC-2025-10981
@ensdomains/ensjs-react,0.0.5,MSC-2025-10983
@ensdomains/eth-ens-namehash,2.0.16,MSC-2025-10983
@ensdomains/hackathon-registrar,1.0.5,MSC-2025-10983
@ensdomains/hardhat-chai-matchers-viem,0.1.15,MSC-2025-10983
@ensdomains/hardhat-toolbox-viem-extended,0.0.6,MSC-2025-10983
@ensdomains/mock,2.1.52,MSC-2025-10981
@ensdomains/name-wrapper,1.0.1,MSC-2025-10983
@ensdomains/offchain-resolver-contracts,0.2.2,MSC-2025-10983
@ensdomains/op-resolver-contracts,0.0.2,MSC-2025-10983
@ensdomains/react-ens-address,0.0.32,MSC-2025-10981
@ensdomains/renewal,0.0.13,MSC-2025-10983
@ensdomains/renewal-widget,0.1.10,MSC-2025-10983
@ensdomains/reverse-records,1.0.1,MSC-2025-10983
@ensdomains/server-analytics,0.0.2,MSC-2025-10983
@ensdomains/solsha1,0.0.4,MSC-2025-10983
@ensdomains/subdomain-registrar,0.2.4,MSC-2025-10983
@ensdomains/test-utils,1.3.1,MSC-2025-10983
@ensdomains/thorin,0.6.51,MSC-2025-10983
@ensdomains/ui,3.4.6,MSC-2025-10983
@ensdomains/unicode-confusables,0.1.1,MSC-2025-10983
@ensdomains/unruggable-gateways,0.0.3,MSC-2025-10983
@ensdomains/vite-plugin-i18next-loader,4.0.4,MSC-2025-10983
@ensdomains/web3modal,1.10.2,MSC-2025-10983
@everreal/react-charts,2.0.2,MSC-2025-10986
@everreal/validate-esmoduleinterop-imports,1.4.4,
@everreal/validate-esmoduleinterop-imports,1.4.5,MSC-2025-10986
@everreal/web-analytics,0.0.1,MSC-2025-10983
@everreal/web-analytics,0.0.2,MSC-2025-10986
@faq-component/core,0.0.4,MSC-2025-10986
@faq-component/react,1.0.1,MSC-2025-10986
@fishingbooker/browser-sync-plugin,1.0.5,MSC-2025-10986
@fishingbooker/react-loader,1.0.7,MSC-2025-10986
@fishingbooker/react-pagination,2.0.6,MSC-2025-10986
@fishingbooker/react-raty,2.0.1,MSC-2025-10986
@fishingbooker/react-swiper,0.1.5,MSC-2025-10985
@hapheus/n8n-nodes-pgp,1.5.0,MSC-2025-10981
@hapheus/n8n-nodes-pgp,1.5.1,MSC-2025-10981
@hestjs/core,0.2.1,MSC-2025-8461
@hestjs/cqrs,0.1.6,MSC-2025-8472
@hestjs/demo,0.1.2,MSC-2025-8414
@hestjs/eslint-config,0.1.2,MSC-2025-8428
@hestjs/logger,0.1.6,MSC-2025-8343
@hestjs/scalar,0.1.7,MSC-2025-8432
@hestjs/validation,0.1.6,MSC-2025-8368
@hover-design/core,0.0.1,MSC-2025-10986
@hover-design/react,0.2.1,MSC-2025-10986
@huntersofbook/auth-vue,0.4.2,MSC-2025-10986
@huntersofbook/core,0.5.1,MSC-2025-10986
@huntersofbook/core-nuxt,0.4.2,MSC-2025-10986
@huntersofbook/form-naiveui,0.5.1,MSC-2025-10986
@huntersofbook/i18n,0.8.2,MSC-2025-10986
@huntersofbook/ui,0.5.1,MSC-2025-10986
@hyperlook/telemetry-sdk,1.0.19,MSC-2025-10986
@ifelsedeveloper/protocol-contracts-svm-idl,0.1.2,MSC-2025-10984
@ifelsedeveloper/protocol-contracts-svm-idl,0.1.3,MSC-2025-10984
@ifings/design-system,4.9.2,MSC-2025-10983
@ifings/metatron3,0.1.5,MSC-2025-10986
@jayeshsadhwani/telemetry-sdk,1.0.14,MSC-2025-10986
@kvytech/cli,0.0.7,MSC-2025-10983
@kvytech/components,0.0.2,MSC-2025-10984
@kvytech/habbit-e2e-test,0.0.2,MSC-2025-10984
@kvytech/medusa-plugin-announcement,0.0.8,MSC-2025-10984
@kvytech/medusa-plugin-management,0.0.5,MSC-2025-10984
@kvytech/medusa-plugin-newsletter,0.0.5,MSC-2025-10984
@kvytech/medusa-plugin-product-reviews,0.0.9,MSC-2025-10984
@kvytech/medusa-plugin-promotion,0.0.2,MSC-2025-10984
@kvytech/web,0.0.2,MSC-2025-10984
@lessondesk/api-client,9.12.2,MSC-2025-10983
@lessondesk/api-client,9.12.3,MSC-2025-10983
@lessondesk/babel-preset,1.0.1,MSC-2025-10983
@lessondesk/electron-group-api-client,1.0.3,MSC-2025-10986
@lessondesk/eslint-config,1.4.2,MSC-2025-10983
@lessondesk/material-icons,1.0.3,MSC-2025-10986
@lessondesk/react-table-context,2.0.4,MSC-2025-10986
@lessondesk/schoolbus,5.2.2,MSC-2025-10983
@lessondesk/schoolbus,5.2.3,MSC-2025-10983
@livecms/live-edit,0.0.32,MSC-2025-10985
@livecms/nuxt-live-edit,1.9.2,MSC-2025-10985
@lokeswari-satyanarayanan/rn-zustand-expo-template,1.0.9,
@louisle2/core,1.0.1,MSC-2025-10981
@louisle2/cortex-js,0.1.6,MSC-2025-10981
@lpdjs/firestore-repo-service,1.0.1,MSC-2025-10985
@lui-ui/lui-nuxt,0.1.1,MSC-2025-10986
@lui-ui/lui-tailwindcss,0.1.2,MSC-2025-10986
@lui-ui/lui-vue,1.0.13,MSC-2025-10986
@markvivanco/app-version-checker,1.0.2,MSC-2025-10986
@mcp-use/cli,2.2.6,MSC-2025-10986
@mcp-use/cli,2.2.6 2.2.7,MSC-2025-10981
@mcp-use/cli,2.2.7,MSC-2025-10986
@mcp-use/inspector,0.6.2,MSC-2025-10981
@mcp-use/inspector,0.6.3,MSC-2025-10981
@mcp-use/mcp-use,1.0.1,MSC-2025-10981
@mcp-use/mcp-use,1.0.2,MSC-2025-10981
@micado-digital/stadtmarketing-kufstein-external,1.9.1,
@mizzle-dev/orm,0.0.2,
@nativescript-community/arraybuffers,1.1.6,MSC-2025-8150
@nativescript-community/arraybuffers,1.1.7,MSC-2025-8151
@nativescript-community/arraybuffers,1.1.8,MSC-2025-8148
@nativescript-community/gesturehandler,2.0.35,MSC-2025-8444
@nativescript-community/perms,3.0.5,MSC-2025-8396
@nativescript-community/perms,3.0.6,MSC-2025-8425
@nativescript-community/perms,3.0.7,MSC-2025-8411
@nativescript-community/perms,3.0.8,MSC-2025-8363
@nativescript-community/perms,3.0.9,MSC-2025-8558
@nativescript-community/sentry,4.6.43,MSC-2025-8025
@nativescript-community/sqlite,3.5.2,MSC-2025-8158
@nativescript-community/sqlite,3.5.3,MSC-2025-8155
@nativescript-community/sqlite,3.5.4,MSC-2025-8154
@nativescript-community/sqlite,3.5.5,MSC-2025-8156
@nativescript-community/text,1.6.10,MSC-2025-8030
@nativescript-community/text,1.6.11,MSC-2025-8029
@nativescript-community/text,1.6.12,MSC-2025-8041
@nativescript-community/text,1.6.13,MSC-2025-8028
@nativescript-community/text,1.6.9,MSC-2025-8027
@nativescript-community/typeorm,0.2.30,MSC-2025-8162
@nativescript-community/typeorm,0.2.31,MSC-2025-8169
@nativescript-community/typeorm,0.2.32,MSC-2025-8176
@nativescript-community/typeorm,0.2.33,MSC-2025-8180
@nativescript-community/ui-collectionview,6.0.6,MSC-2025-8404
@nativescript-community/ui-document-picker,1.1.27,MSC-2025-8380
@nativescript-community/ui-document-picker,1.1.28,MSC-2025-8489
@nativescript-community/ui-drawer,0.1.30,MSC-2025-8447
@nativescript-community/ui-image,4.5.6,MSC-2025-8474
@nativescript-community/ui-label,1.3.35,MSC-2025-8301
@nativescript-community/ui-label,1.3.36,MSC-2025-8294
@nativescript-community/ui-label,1.3.37,MSC-2025-8507
@nativescript-community/ui-material-bottom-navigation,7.2.72,MSC-2025-8473
@nativescript-community/ui-material-bottom-navigation,7.2.73,MSC-2025-8479
@nativescript-community/ui-material-bottom-navigation,7.2.74,MSC-2025-8462
@nativescript-community/ui-material-bottom-navigation,7.2.75,MSC-2025-8520
@nativescript-community/ui-material-bottomsheet,7.2.72,MSC-2025-8468
@nativescript-community/ui-material-core,7.2.72,MSC-2025-8033
